event_id,generated_at,source_node,service_name,status_code,is_synthetic,scenario_tag,telemetry_profile,cpu_pct,memory_pct,latency_ms,disk_io_pct,net_error_rate,queue_length,throughput_rate,http_5xx_rate
44ef6596-740c-49f6-bdd6-d305f9fd8a0e,2026-04-19T15:39:44.215297-04:00,node-01,payments-api,200,True,normal,market_aware_v1,43.357,49.375,108.269,25.673,0.301,44.617,72.508,0.665
42149b1d-f88a-4a77-95ea-f4b3ad78895c,2026-04-19T15:39:44.621053-04:00,node-01,orders-api,200,True,normal,market_aware_v1,48.394,41.526,71.546,35.898,0.195,36.185,109.946,0.413
3bc6de9f-cd8d-4ce2-a3fa-7df3bf6c3b48,2026-04-19T15:39:44.636712-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,48.582,48.632,88.251,30.985,0.261,37.852,83.306,0.572
d8385dba-c3eb-4847-b3b1-74535950abc1,2026-04-19T15:39:44.652170-04:00,node-01,payments-api,200,True,normal,market_aware_v1,48.455,47.493,101.433,25.144,0.37,41.997,74.904,0.692
84d4ee33-bf93-427f-95a1-7ecdfd1a9478,2026-04-19T15:39:44.686607-04:00,node-01,orders-api,200,True,normal,market_aware_v1,53.378,47.971,69.898,32.533,0.187,39.332,111.831,0.396
2acf3818-0575-46dc-9993-99340e362175,2026-04-19T15:39:44.706817-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,52.954,50.8,94.061,29.923,0.406,43.098,87.413,0.818
af4e2538-45e9-45c0-a7d4-f25e27b2bc5e,2026-04-19T15:39:44.729452-04:00,node-01,payments-api,200,True,normal,market_aware_v1,44.96,53.133,109.539,26.753,0.422,50.266,70.637,0.96
5f1761f4-b795-4f18-a2d0-7773071a2901,2026-04-19T15:39:44.760680-04:00,node-01,orders-api,200,True,normal,market_aware_v1,49.619,46.949,74.336,30.983,0.231,38.976,111.912,0.459
8cbe8425-b44d-441f-a171-de0e3882e5ee,2026-04-19T15:39:44.776879-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,50.75,51.876,91.458,28.542,0.454,43.346,88.025,0.867
866ed6bc-e323-4b08-9ec0-40701e2605d7,2026-04-19T15:39:44.805883-04:00,node-01,payments-api,200,True,normal,market_aware_v1,47.706,51.767,86.648,29.405,0.228,41.7,73.536,0.539
acb92bbc-83de-4c9b-ba97-d9440ddea37d,2026-04-19T15:39:44.826805-04:00,node-01,orders-api,200,True,normal,market_aware_v1,52.393,46.252,84.254,33.16,0.267,41.9,106.024,0.528
7b446fe3-33c1-48a4-be07-02789dca36c2,2026-04-19T15:39:44.858764-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,50.505,53.428,98.032,29.031,0.42,40.307,82.999,0.712
525b028a-8a44-491b-9e27-54121d95dd09,2026-04-19T15:39:44.905924-04:00,node-01,payments-api,200,True,normal,market_aware_v1,44.759,52.114,100.873,27.687,0.314,42.097,76.221,0.632
360664e2-69d2-44b7-afe4-4720c747e651,2026-04-19T15:39:44.927231-04:00,node-01,orders-api,200,True,normal,market_aware_v1,52.291,49.344,76.254,30.186,0.159,38.406,107.507,0.408
216b4d00-5447-464f-a5e1-80aebd4a10cc,2026-04-19T15:39:44.961867-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,48.946,48.51,85.635,30.366,0.32,33.137,89.544,0.462
fac2c8ac-1277-45c3-a34f-12d16fb7d532,2026-04-19T15:39:44.995814-04:00,node-01,payments-api,200,True,normal,market_aware_v1,41.678,54.021,99.462,27.763,0.309,40.452,71.675,0.573
5f461ddd-0b7b-41f8-8404-0fd23ef40d94,2026-04-19T15:39:45.040747-04:00,node-01,orders-api,200,True,normal,market_aware_v1,50.779,43.706,80.27,31.213,0.256,39.998,109.93,0.474
9c24b208-0dd3-4410-925c-ee7af3e5df79,2026-04-19T15:39:45.068676-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,46.897,47.96,88.88,26.864,0.368,39.098,80.502,0.549
20fa48d5-1dbc-4498-a6a4-6a4eacf76d72,2026-04-19T15:39:45.088535-04:00,node-01,payments-api,200,True,normal,market_aware_v1,44.632,50.013,96.817,25.817,0.357,43.411,69.74,0.684
384ac41e-6f99-401a-b97d-e702c7b35b85,2026-04-19T15:39:45.121002-04:00,node-01,orders-api,200,True,normal,market_aware_v1,44.242,44.803,77.251,29.016,0.123,39.18,97.024,0.4
818409eb-a380-496a-bdda-aea683588404,2026-04-19T15:39:45.154876-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,46.034,47.628,95.342,28.702,0.383,43.725,74.797,0.672
034c30a3-d3a4-40b1-97ea-5b24a61d84fe,2026-04-19T15:39:45.175652-04:00,node-01,payments-api,200,True,normal,market_aware_v1,39.202,47.129,95.942,24.863,0.356,43.527,62.392,0.656
549bda7b-33bd-4a9f-8b36-5486411a37f3,2026-04-19T15:39:45.198155-04:00,node-01,orders-api,200,True,normal,market_aware_v1,45.572,39.725,76.496,28.594,0.187,36.342,101.239,0.452
9e04e22a-a468-4a29-bf0d-c4c53cda9263,2026-04-19T15:39:45.219100-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,41.526,45.59,90.664,27.085,0.451,39.416,71.822,0.792
a0f46d84-a206-43d0-9bf6-82a0280b9df5,2026-04-19T15:39:45.252090-04:00,node-01,payments-api,200,True,normal,market_aware_v1,37.394,46.418,94.021,22.912,0.298,39.095,63.513,0.604
ca74305b-f07c-4f9b-9ebc-b5b34c7e0376,2026-04-19T15:39:45.274581-04:00,node-01,orders-api,200,True,normal,market_aware_v1,44.179,41.294,78.285,31.131,0.224,44.504,90.208,0.433
c6700dd0-8fab-420e-bfee-cbab54f430c6,2026-04-19T15:39:45.297518-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,39.063,44.459,86.878,28.752,0.42,36.959,69.638,0.564
5ebe4149-c5e5-459d-855b-394f54074f11,2026-04-19T15:39:45.319094-04:00,node-01,payments-api,200,True,normal,market_aware_v1,35.52,46.766,89.327,25.742,0.3,34.926,58.323,0.56
f6c8974d-912e-4d90-b485-958a5cde8503,2026-04-19T15:39:45.341799-04:00,node-01,orders-api,200,True,normal,market_aware_v1,41.603,40.745,63.642,29.531,0.195,34.133,94.595,0.375
02e33ce0-8c22-4e35-b077-7cc21260917c,2026-04-19T15:39:45.362584-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,40.318,46.763,93.334,26.989,0.386,40.277,69.517,0.562
829ab750-bcdb-4ebf-9fc9-78c173e78872,2026-04-19T15:39:45.383980-04:00,node-01,payments-api,200,True,normal,market_aware_v1,36.458,48.566,64.752,23.701,0.123,29.11,65.536,0.367
a87f4e2a-fe3a-4d75-94ef-e656234a9a7e,2026-04-19T15:39:45.406457-04:00,node-01,orders-api,200,True,normal,market_aware_v1,41.724,38.175,79.611,28.028,0.161,42.772,84.412,0.446
8755df6c-e344-4331-8f74-5b0ded398b64,2026-04-19T15:39:45.427668-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,40.7,45.004,87.364,26.713,0.373,41.825,74.864,0.604
c4112383-e31c-4572-b066-33df7b70de3a,2026-04-19T15:39:45.450028-04:00,node-01,payments-api,200,True,normal,market_aware_v1,36.188,48.376,88.026,25.997,0.32,40.863,55.92,0.558
034075fd-0fed-4eba-a6f9-823f1c2dd3c8,2026-04-19T15:39:45.482069-04:00,node-01,orders-api,200,True,normal,market_aware_v1,45.594,44.131,76.802,29.93,0.172,34.215,96.955,0.312
6ab780c6-0965-4291-9f8e-e295bbc2b2f6,2026-04-19T15:39:45.498080-04:00,node-01,checkout-api,200,True,normal,market_aware_v1,42.796,44.313,80.271,26.291,0.348,36.141,69.382,0.605
8776c35a-4000-4c02-81af-b19705ea7d2b,2026-04-19T15:39:45.528635-04:00,node-01,payments-api,200,True,normal,market_aware_v1,36.521,45.16,103.711,25.851,0.283,45.277,58.904,0.709
48609b12-df65-4424-8ca1-5109ee613aef,2026-04-19T15:39:45.547825-04:00,node-01,orders-api,200,True,normal,market_aware_v1,45.191,41.754,81.795,31.379,0.161,35.573,101.827,0.264
